Q1,Q2,T1,T2
37.43010354109625,78.76909734099188,37.04,36.92
30.766448849841808,39.471401689463605,35.27,33.56
27.351281854057074,50.289827048027746,33.18,32.98
66.43885474179562,15.975444651965043,42.81,30.02
29.465517304505852,57.12842639409086,35.79,33.53
3.7512852347448944,7.239658462650123,27.05,26.89
72.62885759672176,44.35371636867727,41.81,29.83
34.61137370896351,45.72797786728716,38.56,33.02
67.2835545215407,95.53840034433117,41.85,37.37
58.934584840224545,33.62325327726274,44.17,33.69
37.45301055788042,61.12543152231319,38.4,35.53
37.68711567618984,99.99134235923187,36.43,39.56
20.719828414979368,37.562063287057256,32.08,33.79
38.231468465401264,25.13586674736744,34.82,29.76
10.707166497048703,57.29232409301703,28.79,32.85
32.275357802373385,87.03813584557902,31.34,36.24
12.467079196238073,36.072465707526824,27.99,31.92
62.19582120120728,45.035777098682026,38.78,31.08
31.448971270554292,74.01079780748492,34.21,34.69
31.539957617554858,88.35955451492514,34.21,38.14
53.32382396369485,5.358162134909694,41.62,30.73
24.236879102660435,64.74108546427547,35.37,35.66
57.733288869082635,13.394772509497344,42.3,30.99
32.97762713615424,3.102760316936315,37.08,27.28
29.899352976361094,36.11609848820345,33.85,29.7
73.17184671132368,56.9270061533226,43.07,32.18
23.163704304211674,88.69600105639593,34.72,38.59
77.94315693423877,92.4882122494993,42.72,37.53
87.04185022255706,76.29035032900384,47.9,36.46
23.883254955597376,63.30084015992061,36.5,37.33
98.90019617950078,57.35746867145629,49.35,34.24
8.519511607576181,74.59065340694961,33.79,37.98
19.13413313202024,64.85979117061987,31.76,36.88
87.48845881839485,4.896927578218369,49.68,31.34
86.0002521327892,99.01817235655255,49.71,37.79
72.51646333271961,34.76784848039942,50.45,35.08
15.32563890129548,33.748206236957316,35.72,33.53
75.69823298984294,27.97974907385682,45.58,31.05
57.260920702940034,12.150982175987956,44.68,29.73
11.73859784731266,13.761309619822393,31.69,27.89
28.57318918821681,0.3333297359282006,31.5,24.51
23.59127395857007,98.12406536746994,30.34,35.92
40.842917440656215,53.59732241563917,34.56,33.69
14.095535269420424,40.380884778941436,29.47,31.66
57.0238479933455,86.73314748696357,36.33,34.08
28.982833527053742,0.35461181510426654,34.76,27.89
77.58531938677879,83.75843816286294,43.55,33.92
82.29473899611546,62.2034089298771,49.13,35.59
82.19243493367428,82.22934296333719,49.61,37.79
61.279766429892504,98.16602973629095,45.33,40.46
23.995442197059702,10.793131941873435,36.63,31.66
24.526631189703497,59.87018448868112,32.63,34.05
4.93203605008985,51.40644337564046,26.86,33.08
23.466279277764823,35.39040995623495,29.18,29.99
29.984771090535013,98.64913054000706,30.66,37.3
45.00983811380602,56.06776810807344,36.08,34.59
73.9602799119669,68.27523641690425,43.23,34.56
71.34229927659186,16.318569196074616,47.52,30.92
79.94457499952257,93.52419336856562,47.81,37.11
75.31565689349998,81.26049583645549,48.13,38.17
49.17289531585753,87.82902379945116,43.13,40.69
17.432436455210432,88.20167370945214,34.92,42.65
50.76754857237917,85.3612808623402,39.04,40.23
73.92002991489728,46.5387877171633,46.0,35.01
